listing_id,neighbourhood,zipcode,price
8281340,Bedford-Stuyvesant,11233,121
8281567,Nolita,10012,165
8281889,Williamsburg,11206,180
8281967,Midtown East,10022,170
8286139,Lower East Side,10002,89
8286476,East Village,10003,109
8290724,Greenwich Village,10011,230
8294525,Bensonhurst,11219,60
8303074,Crown Heights,11225,250
8304809,Crown Heights,11213,205
8308683,East New York,11208,75
8309474,Williamsburg,11211,65
8309731,Upper East Side,10065,250
8312148,West Village,10014,400
8313370,Upper East Side,10128,299
8323944,Sunnyside,10301,50
8324473,Sunnyside,10301,50
8326389,Hamilton Heights,10031,85
8327773,Bedford-Stuyvesant,11233,155
8334574,East Village,10003,140
8337597,Clinton Hill,11238,70
8339036,Midwood,11210,78
8339140,Chinatown,10013,149
8340381,Washington Heights,10040,50
8342009,Astoria,11106,160
8347980,Alphabet City,10009,150
8352032,Upper East Side,10128,124
8353055,Park Slope,11215,360
8355713,Crown Heights,11225,40
8356955,Harlem,10030,87
8361443,Upper East Side,10128,119
8362098,Greenwood Heights,11232,69
8365172,Ditmars / Steinway,11105,109
8368928,Murray Hill,10016,500
8369401,Park Slope,11215,122
8370236,Flatbush,11226,55
8372912,,11206,231
8373265,Harlem,10026,150
8381173,Hell's Kitchen,10019,79
8385284,Bushwick,11237,82
8386889,Alphabet City,10009,75
8387244,Bedford-Stuyvesant,11221,65
8388278,Williamsburg,11249,65
8388864,Boerum Hill,11201,59
8389259,Upper East Side,10065,300
8391153,,11206,95
8398566,Hell's Kitchen,10019,90
8398955,Jackson Heights,11369,45
8400115,Greenpoint,11222,35
8402207,Soundview,10472,28
8402908,Upper East Side,10028,115
8403327,Williamsburg,11211,110
8404499,Williamsburg,11211,200
8405555,The Rockaways,11691,50
8408768,Fort Greene,11205,135
8408853,Williamsburg,11206,100
8409178,Midtown East,10022,95
8409459,Greenpoint,11222,150
8411164,Hell's Kitchen,10036,450
8411390,Upper West Side,10025,100
8412352,Crown Heights,11213,160
8425148,Lower East Side,10002,205
8425665,Lefferts Garden,11226,120
8426309,Clinton Hill,11238,85
